1000, 6412, 0, 0
2000, 6622, 0, 0
3000, 6727, 0, 0
4000, 6712, 0, 0
5000, 6672, 0, 0
6000, 6714, 0, 0
7000, 6643, 0, 0
8001, 6711, 0, 0
9000, 6653, 0, 0
10000, 6761, 0, 0
11000, 6742, 0, 0
12000, 6675, 0, 0
13000, 6787, 0, 0
14000, 6647, 0, 0
15000, 6677, 0, 0
16000, 6714, 0, 0
17000, 6685, 0, 0
18000, 6538, 0, 0
19000, 6675, 0, 0
20000, 6728, 0, 0
21000, 6651, 0, 0
22000, 6647, 0, 0
23000, 6565, 0, 0
24000, 6585, 0, 0
25000, 6610, 0, 0
26000, 6735, 0, 0
27000, 6657, 0, 0
28000, 6641, 0, 0
29000, 6615, 0, 0
30001, 6753, 0, 0
31000, 6622, 0, 0
32000, 6625, 0, 0
33000, 6714, 0, 0
34000, 6633, 0, 0
35000, 6676, 0, 0
36000, 6637, 0, 0
37000, 6775, 0, 0
38000, 6646, 0, 0
39000, 6691, 0, 0
40000, 6634, 0, 0
41000, 6746, 0, 0
42000, 6781, 0, 0
43000, 6721, 0, 0
44000, 6636, 0, 0
45000, 6667, 0, 0
46000, 6611, 0, 0
47000, 6696, 0, 0
48000, 6605, 0, 0
49000, 6645, 0, 0
50000, 6679, 0, 0
51000, 6611, 0, 0
52000, 6678, 0, 0
53000, 6677, 0, 0
54000, 6670, 0, 0
55000, 6722, 0, 0
56000, 6634, 0, 0
57000, 6662, 0, 0
58000, 6631, 0, 0
59000, 6700, 0, 0
