999, 34485, 0, 0, 0
999, 34732, 1, 0, 0
1999, 34566, 0, 0, 0
1999, 34359, 1, 0, 0
3000, 34717, 0, 0, 0
3000, 35003, 1, 0, 0
4000, 34518, 0, 0, 0
4000, 34902, 1, 0, 0
5000, 34474, 0, 0, 0
5000, 34747, 1, 0, 0
6000, 33485, 0, 0, 0
6000, 33255, 1, 0, 0
7000, 33976, 0, 0, 0
7000, 33888, 1, 0, 0
8000, 26311, 0, 0, 0
8000, 26152, 1, 0, 0
9000, 13614, 0, 0, 0
9000, 13612, 1, 0, 0
10000, 8435, 0, 0, 0
10000, 8439, 1, 0, 0
11000, 3221, 0, 0, 0
11000, 3184, 1, 0, 0
12000, 3249, 0, 0, 0
12000, 3163, 1, 0, 0
13000, 3121, 0, 0, 0
13000, 3019, 1, 0, 0
14000, 3182, 0, 0, 0
14000, 3251, 1, 0, 0
15000, 3198, 0, 0, 0
15000, 3254, 1, 0, 0
16000, 3266, 0, 0, 0
16000, 3275, 1, 0, 0
17000, 3158, 0, 0, 0
17000, 3222, 1, 0, 0
18001, 3061, 0, 0, 0
18001, 3071, 1, 0, 0
19000, 3138, 0, 0, 0
19000, 3270, 1, 0, 0
20000, 3142, 0, 0, 0
20000, 3286, 1, 0, 0
21000, 3188, 0, 0, 0
21000, 3186, 1, 0, 0
22000, 3203, 0, 0, 0
22000, 3190, 1, 0, 0
23000, 3176, 0, 0, 0
23000, 3119, 1, 0, 0
24000, 3219, 0, 0, 0
24000, 3161, 1, 0, 0
25000, 3256, 0, 0, 0
25000, 3277, 1, 0, 0
26000, 3262, 0, 0, 0
26000, 3235, 1, 0, 0
27000, 3247, 0, 0, 0
27000, 3136, 1, 0, 0
28000, 3287, 0, 0, 0
28000, 3263, 1, 0, 0
29001, 3229, 0, 0, 0
29001, 3191, 1, 0, 0
30001, 3281, 0, 0, 0
30001, 3115, 1, 0, 0
31000, 3258, 0, 0, 0
31000, 3364, 1, 0, 0
32000, 3283, 0, 0, 0
32000, 3308, 1, 0, 0
33000, 3274, 0, 0, 0
33000, 3355, 1, 0, 0
34000, 3248, 0, 0, 0
34000, 3276, 1, 0, 0
35000, 3305, 0, 0, 0
35000, 3089, 1, 0, 0
36000, 3289, 0, 0, 0
36000, 3271, 1, 0, 0
37000, 3240, 0, 0, 0
37000, 3179, 1, 0, 0
38000, 3262, 0, 0, 0
38000, 3284, 1, 0, 0
39000, 3292, 0, 0, 0
39000, 3306, 1, 0, 0
40000, 3352, 0, 0, 0
40000, 3361, 1, 0, 0
41000, 3326, 0, 0, 0
41000, 3409, 1, 0, 0
42001, 3218, 0, 0, 0
42001, 3254, 1, 0, 0
43001, 3212, 0, 0, 0
43001, 3266, 1, 0, 0
44000, 3307, 0, 0, 0
44000, 3320, 1, 0, 0
45000, 3346, 0, 0, 0
45000, 3425, 1, 0, 0
46000, 3257, 0, 0, 0
46000, 3164, 1, 0, 0
47000, 3309, 0, 0, 0
47000, 3354, 1, 0, 0
48000, 3375, 0, 0, 0
48000, 3265, 1, 0, 0
49000, 3270, 0, 0, 0
49000, 3174, 1, 0, 0
50000, 3238, 0, 0, 0
50000, 3255, 1, 0, 0
51000, 3347, 0, 0, 0
51000, 3290, 1, 0, 0
52000, 3341, 0, 0, 0
52000, 3221, 1, 0, 0
53000, 3296, 0, 0, 0
53000, 3302, 1, 0, 0
54000, 3275, 0, 0, 0
54000, 3375, 1, 0, 0
55000, 3235, 0, 0, 0
55000, 3323, 1, 0, 0
56000, 3258, 0, 0, 0
56000, 3088, 1, 0, 0
57001, 3294, 0, 0, 0
57001, 3318, 1, 0, 0
58002, 3376, 0, 0, 0
58002, 3327, 1, 0, 0
59003, 3174, 0, 0, 0
59003, 3249, 1, 0, 0
